prey_mse,prey_mae,prey_r2,predator_mse,predator_mae,predator_r2
1.1251086102890977e-15,2.6926994319831364e-08,0.9999999999999922,9.336275755370366e-16,2.517938614277071e-08,0.999999999999995
8.248190400058366e-16,2.4220943458108658e-08,0.9999999999999855,6.399946603682551e-07,8.002495527268172e-05,0.9999853743459086
8.022379925888114e-16,2.317905427151601e-08,0.9999999999999855,9.48909928187438e-16,2.5315284728488764e-08,0.999999999999984
4.945629826987328e-15,4.5666694625801087e-08,0.9999999999999984,2.583567492533421e-15,3.7055015557063696e-08,0.999999999999998
7.596990781169906e-16,2.1239519125276774e-08,0.9999999999999846,1.3256760660221015e-14,4.5590400691297716e-08,0.9999999999999971
4.05644300392385e-15,4.2572021480835606e-08,0.9999999999999982,1.5999656892298358e-07,4.003428220749172e-05,0.9999998541050129
8.539404920078149e-16,2.314567566552572e-08,0.9999999999999903,9.00484451753147e-16,2.512216568606451e-08,0.9999999999999907
8.114307092763883e-16,2.4075508111565114e-08,0.9999999999999503,7.976041161711277e-16,2.2993087767098075e-08,0.9999999999999177
8.076153789671805e-16,2.2654533382571172e-08,0.999999999999872,8.194956536757431e-16,2.3336410523988603e-08,0.9999999999996959
1.9617984323535434e-14,8.168935777652653e-08,0.9999999999999979,1.1576185560769365e-14,6.480932239039117e-08,0.9999999999999984
1.217324552152147e-15,2.7489662168811434e-08,0.9999999999999941,1.0081521390401198e-15,2.6512145986368196e-08,0.9999999999999927
1.7556340023140923e-15,3.1967163081070284e-08,0.9999999999999958,8.100042929811897e-07,9.003082275390262e-05,0.9999972725274456
1.5701721183434292e-15,3.056049347915923e-08,0.9999999999999951,8.888582666715293e-16,2.501487731287888e-08,0.9999999999999948
1.4629904397918597e-15,2.8514862048245604e-08,0.9999999999999973,8.378697197678845e-16,2.344608306836804e-08,0.9999999999999942
1.274777332978427e-15,2.7985572816913163e-08,0.999999999999997,1.780188086910631e-15,3.1790733342473844e-08,0.9999999999999959
1.9591885808457765e-15,3.24368476833925e-08,0.9999999999999981,3.58706586483085e-15,4.203081132414521e-08,0.9999999999999983
3.5201969698746303e-15,4.1060447691920745e-08,0.999999999999998,5.21924846694457e-15,4.8758983627328335e-08,0.9999999999999988
1.172170414381318e-15,2.826690673862764e-08,0.9999999999999949,1.599980935633931e-07,4.0023241043101175e-05,0.9999991976278574
7.480275597265349e-16,2.2039413445362756e-08,0.9999999999999953,9.301129462956432e-16,2.5062561027633378e-08,0.9999999999999917
1.9130015956250143e-15,3.24869155787777e-08,0.9999999999999968,2.4092605598791472e-15,3.637313843007917e-08,0.9999999999999963
3.6468005135961154e-15,3.735005854862972e-08,0.9999999999999987,1.3414182847195555e-15,2.8228759781923073e-08,0.9999999999999974
4.3677755435352645e-15,4.335403441246832e-08,0.9999999999999971,1.8340051617616294e-15,3.329277038943701e-08,0.9999999999999961
1.7452362060025722e-15,3.0465126050760463e-08,0.9999999999999969,1.476726084757674e-15,2.972126007971809e-08,0.9999999999999973
1.0380767889134365e-15,2.6593208313219207e-08,0.999999999999993,8.154370337716914e-16,2.301692963113666e-08,0.999999999999993
